"section","Frequency rank","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss ES","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_ES","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula ES","meaning fixed","Qal=1 ES","Nifal=2 ES","Piel=3 ES","Pual=4 ES","Hitpael=5 ES","Hifil=6 ES","Hofal=7 ES","Hishtafal=8 ES","Passive qal=9 ES","Etpaal=1 ES","Nitpael=11 ES","Hotpaal=12 ES","Tifal=13 ES","Hitpoal=14 ES","Poal=15 ES","Poel=16 ES"
,7948,1,5360,"SJWN/","סִיוָן ",,,,,", , , ",,"nmpr",,"Siwan <month>","x",,,,"#N/A","Siwan (mês)",,,,,,,,,,,,,,,,,,
,7949,1,5373,"SK=/","סָךְ II",,,,,", , , ",,"subs",,"<uncertain>","x",,,,"#N/A","(incerto)",,,,,,,,,,,,,,,,,,
,7950,1,5378,"SKJ/","סֻכִּי ",,,,,", , , ",,"adjv",,"Sukkite","x",,,,"#N/A","Sukkite",,,,,,,,,,,,,,,,,,
,7951,1,5379,"SKK/","סֹכֵךְ ",,,,,", , , ",,"subs",,"barricade","x",,,,"#N/A","barricada",,,,,,,,,,,,,,,,,,
,7952,1,5382,"SKKH/","סְכָכָה ",,,,,", , , ",,"nmpr",,"Secacah","x",,,,"#N/A","Secah",,,,,,,,,,,,,,,,,,
,7953,1,5384,"SKL=/","סֶכֶל II",,,,,", , , ",,"subs",,"folly","x",,,,"#N/A","loucura",,,,,,,,,,,,,,,,,,
,7954,1,5387,"SKN=[","סכן II",,,,"regular",", , , regular","regular","verb","pual","<uncertain>","x",,,,"#N/A","pu: <incierto>;","qal: ; qal pass: ; ni: ; pi: ; pu: <incierto>; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","no decision",,,,"<incierto>",,,,,,,,,,,,
,7955,1,5389,"SKR=[","סכר II",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","qal","hire","x",,,,"#N/A","qal: contratar;","qal: contratar; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","no decision","contratar",,,,,,,,,,,,,,,
,7956,1,5391,"SKT[","סכת ",,,,"regular",", , , regular","regular","verb","hif","keep silence","x",,,,"#N/A","hi: mantener silencio;","qal: ; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: mantener silencio; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","no decision",,,,,,"mantener silencio",,,,,,,,,,
,7957,1,5377,"SKWT_BNWT/","סֻכֹּות בְּנֹות ",,,,,", , , ",,"nmpr",,"Succoth Benoth","x",,,,"#N/A","Sucote Benoth",,,,,,,,,,,,,,,,,,
,7958,1,5376,"SKWT=/","סִכּוּת II",,,,,", , , ",,"nmpr",,"Sakkuth","x",,,,"#N/A","Sakuth",,,,,,,,,,,,,,,,,,
,7959,1,5413,"SL<M/","סָלְעָם ",,,,,", , , ",,"subs",,"locust","x",,,,"#N/A","gafanhoto",,,,,,,,,,,,,,,,,,
,7960,1,5393,"SL>/","סִלָּא ",,,,,", , , ",,"nmpr",,"Silla","x",,,,"#N/A","Sila",,,,,,,,,,,,,,,,,,
,7961,1,5395,"SLD[","סלד ",,,,"regular",", , , regular","regular","verb","piel","spring","x",,,,"#N/A","pi: saltar;","qal: ; qal pass: ; ni: ; pi: saltar; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","no decision",,,"saltar",,,,,,,,,,,,,
,7962,1,5409,"SLM/","סֻלָּם ",,,,,", , , ",,"subs",,"ladder","x",,,,"#N/A","escada",,,,,,,,,,,,,,,,,,
,7963,1,5416,"SLQ[","סלק ",,,,"regular",", , , regular","regular","verb","qal","ascend","x",,,,"#N/A","qal: ascender;","qal: ascender; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","no decision","ascender",,,,,,,,,,,,,,,
,7964,1,5410,"SLSLH/","סַלְסִלָּה ",,,,,", , , ",,"subs",,"shoot","x",,,,"#N/A","atirar",,,,,,,,,,,,,,,,,,
,7965,1,5399,"SLW>/","סָלוּא I",,,,,", , , ",,"nmpr",,"Salu","x",,,,"#N/A","Salu",,,,,,,,,,,,,,,,,,
,7966,1,5402,"SLX/","סַלָּח ",,,,,", , , ",,"adjv",,"forgiving","x",,,,"#N/A","perdoador",,,,,,,,,,,,,,,,,,
,7967,1,5419,"SMGR_NBW/","סַמְגַּר נְבוּ ",,,,,", , , ",,"nmpr",,"Samgar-Nebo","x",,,,"#N/A","Samgar-Nebo",,,,,,,,,,,,,,,,,,
,7968,1,5422,"SMKJHW/","סְמַכְיָהוּ ",,,,,", , , ",,"nmpr",,"Semakiah","x",,,,"#N/A","Semakiah",,,,,,,,,,,,,,,,,,
,7969,1,5425,"SMN[","סמן ",,,,"regular",", , , regular","regular","verb","nif","<uncertain>","x",,,,"#N/A","ni: <incierto>;","qal: ; qal pass: ; ni: <incierto>; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","no decision",,"<incierto>",,,,,,,,,,,,,,
,7970,1,5426,"SMR/","סָמָר ",,,,,", , , ",,"adjv",,"bristly","x",,,,"#N/A","eriçado",,,,,,,,,,,,,,,,,,
,7971,1,5431,"SNH=/","סֶנֶּה II",,,,,", , , ",,"nmpr",,"Seneh","x",,,,"#N/A","Seneh",,,,,,,,,,,,,,,,,,
,7972,1,5435,"SNSNH/","סַנְסִנָּה I",,,,,", , , ",,"subs",,"fruit-stalk of date","x",,,,"#N/A","caule de tâmara",,,,,,,,,,,,,,,,,,
,7973,1,5436,"SNSNH=/","סַנְסַנָּה II",,,,,", , , ",,"nmpr",,"Sansannah","x",,,,"#N/A","Sansannah",,,,,,,,,,,,,,,,,,
,7974,1,5453,"SP==/","סַף III",,,,,", , , ",,"nmpr",,"Saph","x",,,,"#N/A","Saph",,,,,,,,,,,,,,,,,,
,7975,1,5458,"SPJ/","סִפַּי ",,,,,", , , ",,"nmpr",,"Sippai","x",,,,"#N/A","Sippai",,,,,,,,,,,,,,,,,,
,7976,1,5461,"SPJNH/","סְפִינָה ",,,,,", , , ",,"subs",,"ship","x",,,,"#N/A","enviar",,,,,,,,,,,,,,,,,,
,7977,1,5460,"SPJX=/","סָפִיחַ II",,,,,", , , ",,"subs",,"outpouring","x",,,,"#N/A","derramamento",,,,,,,,,,,,,,,,,,
,7978,1,5464,"SPN/","סִפֻּן ",,,,,", , , ",,"subs",,"ceiling","x",,,,"#N/A","teto",,,,,,,,,,,,,,,,,,
,7979,1,5466,"SPP[","ספף ",,,,"geminate",", , , geminate","geminate","verb","hit","stand at the threshold","x",,,,"#N/A","hit: pararse en el umbral;","qal: ; qal pass: ; ni: ; pi: ; pu: ; hit: pararse en el umbral; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","no decision",,,,,"pararse en el umbral",,,,,,,,,,,
,7980,1,5470,"SPR==/","סְפָר III",,,,,", , , ",,"subs",,"census","x",,,,"#N/A","Censo",,,,,,,,,,,,,,,,,,
,7981,1,5471,"SPR===/","סְפָר IV",,,,,", , , ",,"nmpr",,"Sephar","x",,,,"#N/A","Sefar",,,,,,,,,,,,,,,,,,
,7982,1,5473,"SPRD/","סְפָרַד ",,,,,", , , ",,"nmpr",,"Sepharad","x",,,,"#N/A","Sefarad",,,,,,,,,,,,,,,,,,
,7983,1,5474,"SPRH/","סִפְרָה ",,,,,", , , ",,"subs",,"book","x",,,,"#N/A","livro",,,,,,,,,,,,,,,,,,
,7984,1,5475,"SPRWJ/","סְפַרְוִי ",,,,,", , , ",,"adjv",,"Sepharvite","x",,,,"#N/A","Sefarvita",,,,,,,,,,,,,,,,,,
,7985,1,5477,"SPRWT/","סְפֹרֹות ",,,,,", , , ",,"subs",,"numbers?","x",,,,"#N/A","números?",,,,,,,,,,,,,,,,,,
,7986,1,5496,"SR<PH/","סַרְעַפָּה ",,,,,", , , ",,"subs",,"bough","x",,,,"#N/A","galho",,,,,,,,,,,,,,,,,,
,7987,1,5481,"SRB/","סָרָב ",,,,,", , , ",,"adjv",,"obstinate","x",,,,"#N/A","obstinado",,,,,,,,,,,,,,,,,,
,7988,1,5484,"SRDJ/","סַרְדִּי ",,,,,", , , ",,"adjv",,"Seredite","x",,,,"#N/A","Seredita",,,,,,,,,,,,,,,,,,
,7989,1,5482,"SRGWN/","סַרְגֹון ",,,,,", , , ",,"nmpr",,"Sargon","x",,,,"#N/A","Sargão",,,,,,,,,,,,,,,,,,
,7990,1,5486,"SRH=/","סָרָה II",,,,,", , , ",,"subs",,"ceasing","x",,,,"#N/A","cessando",,,,,,,,,,,,,,,,,,
,7991,1,5487,"SRH==/","סִרָה III",,,,,", , , ",,"nmpr",,"Sirah","x",,,,"#N/A","Sirah",,,,,,,,,,,,,,,,,,
,7992,1,5494,"SRN/","סֶרֶן ",,,,,", , , ",,"subs",,"axle","x",,,,"#N/A","eixo",,,,,,,,,,,,,,,,,,
,7993,1,5497,"SRP[","סרף ",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","piel","burn","x",,,,"#N/A","pi: para quemar;","qal: ; qal pass: ; ni: ; pi: para quemar; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","no decision",,,"para quemar",,,,,,,,,,,,,
,7994,1,5498,"SRPD/","סִרְפַּד ",,,,,", , , ",,"subs",,"stinging nettle?","x",,,,"#N/A","urtiga?",,,,,,,,,,,,,,,,,,
,7995,1,5489,"SRX/","סֶרַח ",,,,,", , , ",,"subs",,"overhanging","x",,,,"#N/A","pendendo",,,,,,,,,,,,,,,,,,
,7996,1,5490,"SRX=[","סרח II",,"ii-guttural","iii-guttural",,", ii-guttural, iii-guttural, ","ii-guttural, iii-guttural","verb","nif","be decayed","x",,,,"#N/A","ni: ser decaído;","qal: ; qal pass: ; ni: ser decaído; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","no decision",,"ser decaído",,,,,,,,,,,,,,
,7997,1,5438,"SS/","סָס ",,,,,", , , ",,"subs",,"moth","x",,,,"#N/A","mariposa",,,,,,,,,,,,,,,,,,
,7998,1,5505,"STRH/","סִתְרָה ",,,,,", , , ",,"subs",,"hiding-place","x",,,,"#N/A","esconderijo",,,,,,,,,,,,,,,,,,
,7999,1,5506,"STRJ/","סִתְרִי ",,,,,", , , ",,"nmpr",,"Sithri","x",,,,"#N/A","Sithri",,,,,,,,,,,,,,,,,,
,8000,1,5500,"STW/","סְתָו ",,,,,", , , ",,"subs",,"winter","x",,,,"#N/A","inverno",,,,,,,,,,,,,,,,,,
,8001,1,5501,"STWR/","סְתוּר ",,,,,", , , ",,"nmpr",,"Sethur","x",,,,"#N/A","Sethur",,,,,,,,,,,,,,,,,,
,8002,1,5358,"SVJM/","סֵטִים ",,,,,", , , ",,"subs",,"<uncertain>","x",,,,"#N/A","(incerto)",,,,,,,,,,,,,,,,,,
,8003,1,5322,"SW>/","סֹוא ",,,,,", , , ",,"nmpr",,"So","x",,,,"#N/A","assim",,,,,,,,,,,,,,,,,,
,8004,1,5327,"SWDJ/","סֹודִי ",,,,,", , , ",,"nmpr",,"Sodi","x",,,,"#N/A","Sodi",,,,,,,,,,,,,,,,,,
,8005,1,5323,"SWG=[","סוג II",,"ii-waw",,,", ii-waw, , ","ii-waw","verb","qal","fence about","x",,,,"#N/A","qal: vallar sobre;","qal: vallar sobre; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","no decision","vallar sobre",,,,,,,,,,,,,,,
,8006,1,5325,"SWGR/","סוּגַר ",,,,,", , , ",,"subs",,"cage","x",,,,"#N/A","cela",,,,,,,,,,,,,,,,,,
,8007,1,5338,"SWP==/","סוּף III",,,,,", , , ",,"nmpr",,"Suph","x",,,,"#N/A","Suf",,,,,,,,,,,,,,,,,,
,8008,1,5341,"SWPH=/","סוּפָה II",,,,,", , , ",,"nmpr",,"Suphah","x",,,,"#N/A","Suphah",,,,,,,,,,,,,,,,,,
,8009,1,5343,"SWR=/","סוּר II",,,,,", , , ",,"nmpr",,"Sur","x",,,,"#N/A","Sur",,,,,,,,,,,,,,,,,,
,8010,1,5334,"SWSH/","סוּסָה ",,,,,", , , ",,"subs",,"mare","x",,,,"#N/A","égua",,,,,,,,,,,,,,,,,,
,8011,1,5335,"SWSJ/","סוּסִי ",,,,,", , , ",,"nmpr",,"Susi","x",,,,"#N/A","Susi",,,,,,,,,,,,,,,,,,
,8012,1,5345,"SWT/","סוּת ",,,,,", , , ",,"subs",,"garment","x",,,,"#N/A","vestuário",,,,,,,,,,,,,,,,,,
,8013,1,5328,"SWX/","סוּחַ ",,,,,", , , ",,"nmpr",,"Suah","x",,,,"#N/A","Suah",,,,,,,,,,,,,,,,,,
,8014,1,5329,"SWXH/","סוּחָה ",,,,,", , , ",,"subs",,"offal","x",,,,"#N/A","miudezas",,,,,,,,,,,,,,,,,,
,8015,1,5349,"SXH[","סחה ",,"ii-guttural","iii-hey",,", ii-guttural, iii-hey, ","ii-guttural, iii-hey","verb","piel","scrape clean","x",,,,"#N/A","pi: para raspar limpio;","qal: ; qal pass: ; ni: ; pi: para raspar limpio; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","no decision",,,"para raspar limpio",,,,,,,,,,,,,
,8016,1,5350,"SXJ/","סְחִי ",,,,,", , , ",,"subs",,"offscouring","x",,,,"#N/A","espoliação",,,,,,,,,,,,,,,,,,
,8017,1,5351,"SXJC/","סָחִישׁ ",,,,,", , , ",,"subs",,"wild grain","x",,,,"#N/A","grão selvagem",,,,,,,,,,,,,,,,,,
,8018,1,5355,"SXRH/","סֹחֵרָה I",,,,,", , , ",,"subs",,"bulwark?","x",,,,"#N/A","baluarte?",,,,,,,,,,,,,,,,,,
,8019,1,5356,"SXRH=/","סְחֹרָה II",,,,,", , , ",,"subs",,"<uncertain>","x",,,,"#N/A","(incerto)",,,,,,,,,,,,,,,,,,
,8020,1,5357,"SXRT/","סֹחֶרֶת ",,,,,", , , ",,"subs",,"pavement","x",,,,"#N/A","pavimento",,,,,,,,,,,,,,,,,,
,8021,1,8443,"T<LM/","תַּעֲלֻם ",,,,,", , , ",,"subs",,"hidden thing","x",,,,"#N/A","coisa escondida",,,,,,,,,,,,,,,,,,
,8022,1,8446,"T<NJT/","תַּעֲנִית ",,,,,", , , ",,"subs",,"penitence","x",,,,"#N/A","penitência",,,,,,,,,,,,,,,,,,
,8023,1,8439,"T<WPH/","תְּעוּפָה ",,,,,", , , ",,"subs",,"darkness","x",,,,"#N/A","Trevas",,,,,,,,,,,,,,,,,,
,8024,1,8449,"T<YMWT/","תַּעֲצֻמֹות ",,,,,", , , ",,"subs",,"might","x",,,,"#N/A","poderia",,,,,,,,,,,,,,,,,,
,8025,1,8237,"T>B=[","תאב II",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","piel","detest","x",,,,"#N/A","pi: detestar;","qal: ; qal pass: ; ni: ; pi: detestar; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","no decision",,,"detestar",,,,,,,,,,,,,
,8026,1,8239,"T>BH/","תַּאֲבָה ",,,,,", , , ",,"subs",,"longing","x",,,,"#N/A","anseio",,,,,,,,,,,,,,,,,,
,8027,1,8243,"T>LH/","תַּאְלָה ",,,,,", , , ",,"subs",,"curse","x",,,,"#N/A","xingamento",,,,,,,,,,,,,,,,,,
,8028,1,8246,"T>NH=/","תֹּאֲנָה II",,,,,", , , ",,"subs",,"occasion","x",,,,"#N/A","ocasião",,,,,,,,,,,,,,,,,,
,8029,1,8247,"T>NH==/","תַּאֲנָה III",,,,,", , , ",,"subs",,"mating time","x",,,,"#N/A","tempo de acasalamento",,,,,,,,,,,,,,,,,,
,8030,1,8249,"T>NJM/","תְּאֻנִים ",,,,,", , , ",,"subs",,"toil","x",,,,"#N/A","labuta",,,,,,,,,,,,,,,,,,
,8031,1,8250,"T>NT_CLH/","תַּאֲנַת שִׁלֹה ",,,,,", , , ",,"nmpr",,"Taanath Shiloh","x",,,,"#N/A","Taanath Shiloh",,,,,,,,,,,,,,,,,,
,8032,1,8253,"T>R</","תַּאְרֵעַ ",,,,,", , , ",,"nmpr",,"Tarea","x",,,,"#N/A","Tarea",,,,,,,,,,,,,,,,,,
,8033,1,8264,"TBLJT/","תַּבְלִית ",,,,,", , , ",,"subs",,"destruction","x",,,,"#N/A","destruição",,,,,,,,,,,,,,,,,,
,8034,1,8265,"TBLL/","תְּבַלֻּל ",,,,,", , , ",,"subs",,"spot","x",,,,"#N/A","local",,,,,,,,,,,,,,,,,,
,8035,1,8271,"TBR[","תבר ",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","nif","<uncertain>","x",,,,"#N/A","ni: romperse, ser frágil;","qal: ; qal pass: ; ni: romperse, ser frágil; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","no decision",,"romperse, ser frágil",,,,,,,,,,,,,,
,8036,1,8259,"TBWSH/","תְּבוּסָה ",,,,,", , , ",,"subs",,"down-treading","x",,,,"#N/A","pisando fundo",,,,,,,,,,,,,,,,,,
,8037,1,8520,"TCBY/","תַּשְׁבֵּץ ",,,,,", , , ",,"subs",,"chequered cloth","x",,,,"#N/A","pano xadrez",,,,,,,,,,,,,,,,,,
,8038,1,8525,"TCWRH/","תְּשׁוּרָה ",,,,,", , , ",,"subs",,"gift?","x",,,,"#N/A","Presente?",,,,,,,,,,,,,,,,,,
,8039,1,8522,"TFWMT/","תְּשׂוּמֶת ",,,,,", , , ",,"subs",,"thing deposited as a pledge?","x",,,,"#N/A","coisa depositada como penhor?",,,,,,,,,,,,,,,,,,
,8040,1,8273,"TGRH/","תִּגְרָה ",,,,,", , , ",,"subs",,"irritation","x",,,,"#N/A","irritação",,,,,,,,,,,,,,,,,,
,8041,1,8280,"THLH=/","תָּהֳלָה II",,,,,", , , ",,"subs",,"error","x",,,,"#N/A","erro",,,,,,,,,,,,,,,,,,
,8042,1,8281,"THLKT/","תַּהֲלֻכֹת ",,,,,", , , ",,"subs",,"procession","x",,,,"#N/A","procissão",,,,,,,,,,,,,,,,,,
,8043,1,8343,"TJLWN/","תִּילֹון ",,,,,", , , ",,"nmpr",,"Tilon","x",,,,"#N/A","Tilon",,,,,,,,,,,,,,,,,,
,8044,1,8348,"TJMNJ=/","תֵּימְנִי II",,,,,", , , ",,"adjv",,"Temenite","x",,,,"#N/A","Temenita",,,,,,,,,,,,,,,,,,
,8045,1,8352,"TJRJ>/","תִּירְיָא ",,,,,", , , ",,"nmpr",,"Tiria","x",,,,"#N/A","Tiria",,,,,,,,,,,,,,,,,,
,8046,1,8350,"TJYJ/","תִּיצִי ",,,,,", , , ",,"adjv",,"Tizite","x",,,,"#N/A","Tizita",,,,,,,,,,,,,,,,,,
,8047,1,8356,"TKH[","תכה ",,,"iii-hey",,", , iii-hey, ","iii-hey","verb","pual","<uncertain>","x",,,,"#N/A","pu: <incierto>;","qal: ; qal pass: ; ni: ; pi: ; pu: <incierto>; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","no decision",,,,"<incierto>",,,,,,,,,,,,
,8048,1,8359,"TKLH/","תִּכְלָה ",,,,,", , , ",,"subs",,"perfection","x",,,,"#N/A","perfeição",,,,,,,,,,,,,,,,,,
,8049,1,8363,"TKN=/","תֹּכֶן II",,,,,", , , ",,"nmpr",,"Token","x",,,,"#N/A","Símbolo",,,,,,,,,,,,,,,,,,
,8050,1,8366,"TKRJK/","תַּכְרִיךְ ",,,,,", , , ",,"subs",,"robe","x",,,,"#N/A","manto",,,,,,,,,,,,,,,,,,
,8051,1,8368,"TL_>BJB/","תֵּל אָבִיב ",,,,,", , , ",,"nmpr",,"Tel Abib","x",,,,"#N/A","Tel Abib",,,,,,,,,,,,,,,,,,
,8052,1,8386,"TL<[","תלע ",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","pual","clothed in scarlet","x",,,,"#N/A","pu: vestirse de escarlata;","qal: ; qal pass: ; ni: ; pi: ; pu: vestirse de escarlata; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","no decision",,,,"vestirse de escarlata",,,,,,,,,,,,
,8053,1,8372,"TL>BWT/","תַּלְאֻבֹות ",,,,,", , , ",,"subs",,"drought","x",,,,"#N/A","seca",,,,,,,,,,,,,,,,,,
,8054,1,8375,"TLBCT/","תִּלְבֹּשֶׁת ",,,,,", , , ",,"subs",,"clothing","x",,,,"#N/A","roupas",,,,,,,,,,,,,,,,,,
,8055,1,8380,"TLJ/","תְּלִי ",,,,,", , , ",,"subs",,"quiver and arrows","x",,,,"#N/A","aljava e flechas",,,,,,,,,,,,,,,,,,
,8056,1,8384,"TLMJD/","תַּלְמִיד ",,,,,", , , ",,"subs",,"scholar","x",,,,"#N/A","estudioso",,,,,,,,,,,,,,,,,,
,8057,1,8387,"TLPJWT/","תַּלְפִּיֹּות ",,,,,", , , ",,"subs",,"layers?","x",,,,"#N/A","camadas?",,,,,,,,,,,,,,,,,,
,8058,1,8388,"TLTL/","תַּלְתָּל ",,,,,", , , ",,"subs",,"date-panicle?","x",,,,"#N/A","data-panícula?",,,,,,,,,,,,,,,,,,
,8059,1,8378,"TLWL/","תָּלוּל ",,,,,", , , ",,"adjv",,"lofty","x",,,,"#N/A","sublime",,,,,,,,,,,,,,,,,,
,8060,1,8379,"TLX/","תֶּלַח ",,,,,", , , ",,"nmpr",,"Telah","x",,,,"#N/A","Telah",,,,,,,,,,,,,,,,,,
,8061,1,8406,"TMNJ/","תִּמְנִי ",,,,,", , , ",,"adjv",,"Timnite","x",,,,"#N/A","Timnite",,,,,,,,,,,,,,,,,,
,8062,1,8408,"TMNT_XRS/","תִּמְנַת חֶרֶס ",,,,,", , , ",,"nmpr",,"Timnath Heres","x",,,,"#N/A","Timnath Heres",,,,,,,,,,,,,,,,,,
,8063,1,8412,"TMR=/","תֹּמֶר II",,,,,", , , ",,"subs",,"palm-tree","x",,,,"#N/A","Palmeira",,,,,,,,,,,,,,,,,,
,8064,1,8413,"TMR==/","תֹּמֶר III",,,,,", , , ",,"subs",,"scarecrow","x",,,,"#N/A","espantalho",,,,,,,,,,,,,,,,,,
,8065,1,8419,"TMRWRJM=/","תַּמְרוּרִים II",,,,,", , , ",,"subs",,"sign-posts","x",,,,"#N/A","postes de sinalização",,,,,,,,,,,,,,,,,,
,8066,1,8410,"TMS/","תֶּמֶס ",,,,,", , , ",,"subs",,"melting","x",,,,"#N/A","Derretendo",,,,,,,,,,,,,,,,,,
,8067,1,8394,"TMWZ/","תַּמּוּז ",,,,,", , , ",,"nmpr",,"Tammuz","x",,,,"#N/A","Tamuz",,,,,,,,,,,,,,,,,,
,8068,1,8434,"TNCMT=/","תִּנְשֶׁמֶת II",,,,,", , , ",,"subs",,"chameleon?","x",,,,"#N/A","camaleão?",,,,,,,,,,,,,,,,,,
,8069,1,8459,"TPJNJM/","תֻּפִינִים ",,,,,", , , ",,"subs",,"<uncertain>","x",,,,"#N/A","(incerto)",,,,,,,,,,,,,,,,,,
,8070,1,8463,"TPL[","תפל ",,,,"regular",", , , regular","regular","verb","hit","behave silly?","x",,,,"#N/A","hit: comportarse como un tonto?;","qal: ; qal pass: ; ni: ; pi: ; pu: ; hit: comportarse como un tonto?; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","no decision",,,,,"comportarse como un tonto?",,,,,,,,,,,
,8071,1,8462,"TPL==/","תֹּפֶל III",,,,,", , , ",,"nmpr",,"Tophel","x",,,,"#N/A","Tofel",,,,,,,,,,,,,,,,,,
,8072,1,8466,"TPLYT/","תִּפְלֶצֶת ",,,,,", , , ",,"subs",,"horror","x",,,,"#N/A","Horror",,,,,,,,,,,,,,,,,,
,8073,1,8471,"TPT/","תֹּפֶת I",,,,,", , , ",,"subs",,"spitting","x",,,,"#N/A","cuspir",,,,,,,,,,,,,,,,,,
,8074,1,8473,"TPTH/","תָּפְתֶּה ",,,,,", , , ",,"subs",,"<uncertain>","x",,,,"#N/A","(incerto)",,,,,,,,,,,,,,,,,,
,8075,1,8458,"TPX/","תַּפֻּחַ ",,,,,", , , ",,"nmpr",,"Tappuah","x",,,,"#N/A","Tappuah",,,,,,,,,,,,,,,,,,
,8076,1,8485,"TQ</","תֵּקַע ",,,,,", , , ",,"subs",,"blowing","x",,,,"#N/A","sopro",,,,,,,,,,,,,,,,,,
,8077,1,8474,"TQHT/","תָּקְהַת ",,,,,", , , ",,"nmpr",,"Tokhath","x",,,,"#N/A","Tokhath",,,,,,,,,,,,,,,,,,
,8078,1,8483,"TQJP/","תַּקִּיף ",,,,,", , , ",,"adjv",,"mighty","x",,,,"#N/A","poderoso",,,,,,,,,,,,,,,,,,
,8079,1,8479,"TQW</","תָּקֹועַ I",,,,,", , , ",,"subs",,"trumpet?","x",,,,"#N/A","trompete?",,,,,,,,,,,,,,,,,,
,8080,1,8478,"TQWMH/","תְּקוּמָה ",,,,,", , , ",,"subs",,"power to stand","x",,,,"#N/A","poder para ficar",,,,,,,,,,,,,,,,,,
,8081,1,8507,"TR<TJ/","תִּרְעָתִי ",,,,,", , , ",,"nmpr",,"Tirathites","x",,,,"#N/A","Tiratita",,,,,,,,,,,,,,,,,,
,8082,1,8489,"TR>LH/","תַּרְאֲלָה ",,,,,", , , ",,"nmpr",,"Taralah","x",,,,"#N/A","Tarala",,,,,,,,,,,,,,,,,,
,8083,1,8490,"TRBWT/","תַּרְבּוּת ",,,,,", , , ",,"subs",,"brood","x",,,,"#N/A","ninhada",,,,,,,,,,,,,,,,,,
,8084,1,8492,"TRGM[","תרגם ",,,,"4 root verb",", , , 4 root verb","4 root verb","verb","pual","interpreted","x",,,,"#N/A","pu: interpretar;","qal: ; qal pass: ; ni: ; pi: ; pu: interpretar; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","no decision",,,,"interpretar",,,,,,,,,,,,
,8085,1,8503,"TRMH/","תָּרְמָה ",,,,,", , , ",,"nmpr",,"Tormah","x",,,,"#N/A","Tormah",,,,,,,,,,,,,,,,,,
,8086,1,8517,"TRTQ/","תַּרְתָּק ",,,,,", , , ",,"nmpr",,"Tartak","x",,,,"#N/A","Tartaque",,,,,,,,,,,,,,,,,,
,8087,1,8496,"TRWMJH/","תְּרוּמִיָּה ",,,,,", , , ",,"subs",,"contribution","x",,,,"#N/A","contribuição",,,,,,,,,,,,,,,,,,
