"section","Frequency rank","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss ES","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_ES","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula ES","meaning fixed","Qal=1 ES","Nifal=2 ES","Piel=3 ES","Pual=4 ES","Hitpael=5 ES","Hifil=6 ES","Hofal=7 ES","Hishtafal=8 ES","Passive qal=9 ES","Etpaal=1 ES","Nitpael=11 ES","Hotpaal=12 ES","Tifal=13 ES","Hitpoal=14 ES","Poal=15 ES","Poel=16 ES"
,1240,25,5561,"<GLH=/","עֲגָלָה II",,,,,", , , ",,"subs",,"chariot, cart",,,"Mitchel_Sec5.M (26-25)",,"vagón, carreta, carruaje","vagón, carreta, carruaje",,"done",,,,,,,,,,,,,,,,
,1241,25,83,">BCJ/","אַבְשַׁי ",,,,,", , , ",,"nmpr",,"Abishai",,,"Mitchel_Sec5.M (26-25)",,"Abisai","Abisai",,"done",,,,,,,,,,,,,,,,
,1242,25,736,">RNWN/","אַרְנֹון ",,,,,", , , ",,"nmpr",,"Arnon",,,"Mitchel_Sec5.M (26-25)",,"Arnón","Arnón",,"done",,,,,,,,,,,,,,,,
,1243,25,192,">WLT/","אִוֶּלֶת ",,,,,", , , ",,"subs",,"foolishness",,,"Mitchel_Sec5.M (26-25)",,"insensatez","insensatez",,"done",,,,,,,,,,,,,,,,
,1244,25,1069,"BN_HDD/","בֶּן הֲדַד ",,,,,", , , ",,"nmpr",,"Ben-Hadad",,,"Mitchel_Sec5.M (26-25)",,"Ben-adad","Ben-adad",,"done",,,,,,,,,,,,,,,,
,1245,25,1224,"BRK/","בֶּרֶךְ ",,,,,", , , ",,"subs",,"knee",,,"Mitchel_Sec5.M (26-25)",,"rodilla","rodilla",,"done",,,,,,,,,,,,,,,,
,1246,25,1141,"BYWR/","בָּצוּר ",,,,,", , , ",,"adjv",,"inaccessible, fortified",,,"Mitchel_Sec5.M (26-25)",,"inaccesible, fortificado","inaccesible, fortificado",,"done",,,,,,,,,,,,,,,,
,1247,25,912,"BZ/","בַּז ",,,,,", , , ",,"subs",,"plunder; booty",,,"Mitchel_Sec5.L (28-27)",,"saqueo; botín","saqueo; botín",,"done",,,,,,,,,,,,,,,,
,1248,25,7577,"CD/","שֹׁד I",,,,,", , , ",,"subs",,"violence; devastation",,,"Mitchel_Sec5.M (26-25)",,"violencia destrucción","violencia destrucción",,"done",,,,,,,,,,,,,,,,
,1249,25,7893,"CLP[","שׁלף ",,,,"regular",", , , regular","regular","verb","qal","draw out; draw off",,,"Mitchel_Sec5.M (26-25)",,"qal: sacar (la espada); quitar;","qal: sacar (la espada); quitar;","qal: sacar (la espada); quitar; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","sacar (la espada); quitar",,,,,,,,,,,,,,,
,1250,25,8004,"CNH[","שׁנה ",,,"iii-hey",,", , iii-hey, ","iii-hey","verb","hit nif piel pual qal","change; repeat; differ",,,"Mitchel_Sec5.N (24)",,"qal: cambiar; repetir; diferir; ni: ser repetido; pi: alterar; pu: cambiar; hit: disfrazarse;","qal: cambiar; repetir; diferir; ni: ser repetido; pi: alterar; pu: cambiar; hit: disfrazarse;","qal: cambiar; repetir; diferir; qal pass: ; ni: ser repetido; pi: alterar; pu: cambiar; hit: disfrazarse; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","cambiar; repetir; diferir","ser repetido","alterar","cambiar","disfrazarse",,,,,,,,,,,
,1251,25,7737,"CVR[","שׁטר ",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","qal","write; official",,,"Mitchel_Sec5.M (26-25)",,"qal: oficial, registrador;","qal: oficial, registrador;","qal: oficial, registrador; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","oficial, registrador",,,,,,,,,,,,,,,
,1252,25,1735,"DMWT/","דְּמוּת ",,,,,", , , ",,"subs",,"likeness; shape",,,"Mitchel_Sec5.M (26-25)",,"semejanza; forma","semejanza; forma",,"done",,,,,,,,,,,,,,,,
,1253,25,1330,"GBR[","גבר ",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hif hit piel qal","be mighty",,,"Mitchel_Sec5.M (26-25)",,"qal: exceder; pi: hacer poderoso; hit: demonstrar poderío; hif: ser fuerte, estar fuerte;","qal: exceder; pi: hacer poderoso; hit: demonstrar poderío; hi: ser fuerte, estar fuerte;","qal: exceder; qal pass: ; ni: ; pi: hacer poderoso; pu: ; hit: demonstrar poderío; hi: ser fuerte, estar fuerte; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","exceder",,"hacer poderoso",,"demonstrar poderío","ser fuerte, estar fuerte",,,,,,,,,,
,1254,25,1805,"HGH[","הגה I","i-guttural",,"iii-hey",,"i-guttural, , iii-hey, ","i-guttural, iii-hey","verb","hif hof qal","coo, growl, mutter",,,"Mitchel_Sec5.M (26-25)",,"qal: arrullar, gruñir, murmurar; hif: causar murmurar; hof: ser causado murmurar;","qal: arrullar, gruñir, murmurar; hi: causar murmurar; ho: ser causado murmurar;","qal: arrullar, gruñir, murmurar; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: causar murmurar; ho: ser causado murmurar; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","arrullar, gruñir, murmurar",,,,,"causar murmurar","ser causado murmurar",,,,,,,,,
