"section","Frequency rank","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","meaning fixed","Qal=1 EN","Nifal=2 EN","Piel=3 EN","Pual=4 EN","Hitpael=5 EN","Hifil=6 EN","Hofal=7 EN","Hishtafal=8 EN","Passive qal=9 EN","Etpaal=10 EN","Nitpael=11 EN","Hotpaal=12 EN","Tifal=13 EN","Hitpoal=14 EN","Poal=15 EN","Poel=16 EN"
,963,36,58,">BL[","אבל I","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","hif hit qal","mourn",,,"Mitchel_Sec5.F (39-38)",,,"qal: mourn; hit: mourn; hi: cause to mourn;","qal: mourn; qal pass: 0; ni: 0; pi: 0; pu: 0; hit: mourn; hi: cause to mourn; ho: 0; hst: 0; etp: 0; nitp: 0; hotpa: 0; tif: 0; hitpo: 0; poa: 0; poe: 0.","Q=1","mourn",0,0,0,"mourn","cause to mourn",0,0,0,0,0,0,0,0,0,0
,4639,2,59,">BL_BJT_M<KH/","אָבֵל בֵּית מַעֲכָה ",,,,,", , , ",,"nmpr",,"Abel Beth Maacah",,,,,"Abel Beth Maacah","Abel Beth Maacah",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5926,1,60,">BL_HCVJM/","אָבֵל הַשִּׁטִּים ",,,,,", , , ",,"nmpr",,"Abel Shittim",,,,,"Abel Shittim","Abel Shittim",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5927,1,61,">BL_KRMJM/","אָבֵל כְּרָמִים ",,,,,", , , ",,"nmpr",,"Abel Keramim",,,,,"Abel Keramim","Abel Keramim",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3972,3,62,">BL_MXWLH/","אָבֵל מְחֹולָה ",,,,,", , , ",,"nmpr",,"Abel Meholah",,,,,"Abel Meholah","Abel Meholah",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5928,1,63,">BL_MJM/","אָבֵל מָיִם ",,,,,", , , ",,"nmpr",,"Abel Maim",,,,,"Abel Maim","Abel Maim",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5929,1,64,">BL_MYRJM/","אָבֵל מִצְרַיִם ",,,,,", , , ",,"nmpr",,"Abel Mizraim",,,,,"Abel Mizraim","Abel Mizraim",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sec0801",186,273,65,">BN/","אֶבֶן I",,,,,", , , ",,"subs",,"stone",,,"Mitchel_Sec2.D (269-220)",,"stone","stone",,"done",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4640,2,66,">BN=/","אֹבֶן II",,,,,", , , ",,"subs",,"potter's wheel; midwife's stool?",,,,,"potter's wheel; midwife's stool?","potter's wheel; midwife's stool?",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3975,3,67,">BN_H<ZR/","אֶבֶן הָעֵזֶר ",,,,,", , , ",,"nmpr",,"Ebenezer",,,,,"Ebenezer","Ebenezer",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
