"section","booklet number (frequency+alphabetic)","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","x","x","x","x","New glosses, non-verbs","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","meaning fixed","Peal=1","Pael=2","Peil=3","Hafel=4","Hofal=5","Afel=6","Shafel=7","Hitpeel=8","Hitpaal=9","Hishtafal=10","Etpaal=11","Etpeel=12"
,90,12,605,"RMH[","רמה",,,"iii-hey",,", , iii-hey, ","iii-hey","verb","htpe peal peil","throw; set up; impose",,,,,,"peal: throw, set up, impose; peil: be thrown, be placed; hitpe: be thrown","peal: throw, set up, impose; pael: ; peil: be thrown, be placed; haf: ; hof: ; af: ; shaf: ; hitpe: be thrown; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","throw, set up, impose",,"be thrown, be placed",,,,,"be thrown",,,,
,91,12,615,"C>R/","שְׁאָר",,,,,", , , ",,"subs",,"remainder",,,,,,"remainder",,"done",,,,,,,,,,,,
,92,12,641,"CM/","שֻׁם",,,,,", , , ",,"subs",,"name",,,,,,"name",,"done",,,,,,,,,,,,
,93,11,92,"BHL[","בהל",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","htpa htpe pael","frighten",,,,,,"pael: frighten; hitpe: hurry; hitpa: be frightened (ptc. only)","pael: frighten; peal: ; peil: ; haf: ; hof ; af: ; shaf: ; hitpe: hurry; hitpa: be frightened (ptc. only); hisht: ; etpa: ; etpe: .","Pael=2",,"frighten",,,,,,"hurry","be frightened (ptc. only)",,,
,94,11,206,"ZMN/","זְמָן",,,,,", , , ",,"subs",,"time; turn",,,,,,"time; turn",,"done",,,,,,,,,,,,
,95,11,365,"MDJNH/","מְדִינָה",,,,,", , , ",,"subs",,"province",,,,,,"province",,"done",,,,,,,,,,,,
,96,11,435,"NPL[","נפל","i-nun",,,,"i-nun, , , ","i-nun","verb","peal","fall; fall to, be necessary",,,,,,"peal: fall, fall to, be necessary","peal: fall, fall to, be necessary; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","fall, fall to, be necessary",,,,,,,,,,,
,97,11,436,"NPQ[","נפק","i-nun",,,,"i-nun, , , ","i-nun","verb","haf peal","go out, come out",,,,,,"peal: go out, come out; haf: take out","peal: go out, come out; pael: ; peil: ; haf: take out; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","go out, come out",,,"take out",,,,,,,,
,98,11,575,"QR>[","קרא",,"ii-guttural","iii-aleph",,", ii-guttural, iii-aleph, ","ii-guttural, iii-aleph","verb","htpe peal peil","call; read",,,,,,"peal: call, read; peil: be read; hitpe: be called","peal: call, read; pael: ; peil: be read; haf: ; hof: ; af: ; shaf: ; hitpe: be called; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","call, read",,"be read",,,,,"be called",,,,
,99,11,596,"RWX/","רוּחַ",,,,,", , , ",,"subs",,"wind; spirit",,,,,,"wind; spirit",,"done",,,,,,,,,,,,
,100,11,690,"TLT/","תְּלָת I",,,,,", , , ",,"subs",,"three",,,,,,"three",,"done",,,,,,,,,,,,
,101,10,65,">RJH/","אַרְיֵה",,,,,", , , ",,"subs",,"lion",,,,,,"lion",,"done",,,,,,,,,,,,
,102,10,82,">TWN/","אַתּוּן",,,,,", , , ",,"subs",,"furnace",,,,,,"furnace",,"done",,,,,,,,,,,,
,103,10,121,"GB=/","גֹּב",,,,,", , , ",,"subs",,"pit",,,,,,"pit",,"done",,,,,,,,,,,,
