"section","booklet number (frequency+alphabetic)","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","x","x","x","x","New glosses, non-verbs","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","meaning fixed","Peal=1","Pael=2","Peil=3","Hafel=4","Hofal=5","Afel=6","Shafel=7","Hitpeel=8","Hitpaal=9","Hishtafal=10","Etpaal=11","Etpeel=12"
,394,2,339,"KTL/","כְּתַל",,,,,", , , ",,"subs",,"wall",,,,,,"wall",,"done",,,,,,,,,,,,
,395,2,344,"LBWC/","לְבוּשׁ",,,,,", , , ",,"subs",,"garment",,,,,,"garment",,"done",,,,,,,,,,,,
,396,2,356,"M>MR/","מֵאמַר",,,,,", , , ",,"subs",,"word, order",,,,,,"word, order",,"done",,,,,,,,,,,,
,397,2,368,"MZWN/","מָזֹון",,,,,", , , ",,"subs",,"food",,,,,,"food",,"done",,,,,,,,,,,,
,398,2,374,"ML>[","מלא",,,"iii-aleph",,", , iii-aleph, ","iii-aleph","verb","htpe peal","fill",,,,,,"peal: fill; hitpe: be filled","peal: fill; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: be filled; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","fill",,,,,,,"be filled",,,,
,399,2,375,"ML>K/","מַלְאַךְ",,,,,", , , ",,"subs",,"angel",,,,,,"angel",,"done",,,,,,,,,,,,
,400,2,381,"MLKH/","מַלְכָּה",,,,,", , , ",,"subs",,"queen",,,,,,"queen",,"done",,,,,,,,,,,,
,401,2,389,"MNXH/","מִנְחָה",,,,,", , , ",,"subs",,"offering",,,,,,"offering",,"done",,,,,,,,,,,,
,402,2,396,"MRD=/","מָרָד",,,,,", , , ",,"adjv",,"rebellious",,,,,,"rebellious",,"done",,,,,,,,,,,,
,403,2,399,"MCX/","מְשַׁח",,,,,", , , ",,"subs",,"oil",,,,,,"oil",,"done",,,,,,,,,,,,
,404,2,408,"NBZBH/","נְבִזְבָּה",,,,,", , , ",,"subs",,"present, reward",,,,,,"present",,"done",,,,,,,,,,,,
,405,2,415,"NDBK/","נִדְבָּךְ",,,,,", , , ",,"subs",,"layer",,,,,,"layer",,"done",,,,,,,,,,,,
,406,2,419,"NHJRW/","נַהִירוּ",,,,,", , , ",,"subs",,"illumination",,,,,,"illumination",,"done",,,,,,,,,,,,
,407,2,427,"NVL[","נטל","i-nun",,,,"i-nun, , , ","i-nun","verb","peal peil","lift up",,,,,,"peal: lift up","peal: lift up; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","lift up",,,,,,,,,,,
,408,2,429,"NJXWX/","נִיחֹוחַ",,,,,", , , ",,"subs",,"sacrifice of sweet smell",,,,,,"sacrifice of sweet smell",,"done",,,,,,,,,,,,
,409,2,430,"NKS/","נְכַס",,,,,", , , ",,"subs",,"richess, property",,,,,,"richess, property",,"done",,,,,,,,,,,,
,410,2,437,"NPQH/","נִפְקָה",,,,,", , , ",,"subs",,"expenses",,,,,,"expenses",,"done",,,,,,,,,,,,
,411,2,445,"NCR/","נְשַׁר",,,,,", , , ",,"subs",,"eagle",,,,,,"eagle",,"done",,,,,,,,,,,,
,412,2,458,"SWP[","סוף",,"ii-waw",,,", ii-waw, , ","ii-waw","verb","haf peal","be fulfilled",,,,,,"peal: be fulfilled; haf: put an end to","peal: be fulfilled; pael: ; peil: ; haf: put an end to; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","be fulfilled",,,"put an end to",,,,,,,,
,413,2,463,"SRBL/","סַרְבָּל",,,,,", , , ",,"subs",,"trousers?; mantle?",,,,,,"trousers?; mantle?",,"done",,,,,,,,,,,,
,414,2,474,"<DW>/","עִדֹּוא",,,,,", , , ",,"nmpr",,"Iddo",,,,,,"Iddo",,"done",,,,,,,,,,,,
,415,2,478,"<WP/","עֹוף",,,,,", , , ",,"subs",,"bird; birds",,,,,,"bird; birds",,"done",,,,,,,,,,,,
,416,2,481,"<ZQH/","עִזְקָה",,,,,", , , ",,"subs",,"seal ring",,,,,,"seal ring",,"done",,,,,,,,,,,,
,417,2,530,"PS/","פַּס",,,,,", , , ",,"subs",,"palm of hand",,,,,,"palm of hand",,"done",,,,,,,,,,,,
,418,2,533,"PRS=/","פְּרֵס",,,,,", , , ",,"subs",,"half shekel",,,,,,"half shekel",,"done",,,,,,,,,,,,
,419,2,541,"PCR[","פשׁר",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","pael peal","interpret",,,,,,"peal: interpret; pael: interpret (ptc. only)","peal: interpret; pael: interpret (ptc. only); peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","interpret","interpret (ptc. only)",,,,,,,,,,
,420,2,543,"PTX[","פתח",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","peal peil","opened",,,,,,"peal: opened","peal: opened; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","opened",,,,,,,,,,,
,421,2,544,"PTJ/","פְּתָי",,,,,", , , ",,"subs",,"breadth",,,,,,"breadth",,"done",,,,,,,,,,,,
,422,2,548,"YD/","צַד",,,,,", , , ",,"subs",,"side",,,,,,"side",,"done",,,,,,,,,,,,
,423,2,552,"YLH[","צלה",,,"iii-hey",,", , iii-hey, ","iii-hey","verb","pael","pray",,,,,,"pael: pray","pael: pray; peal: ; peil: ; haf: ; hof ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Pael=2",,"pray",,,,,,,,,,
,424,2,561,"QDMH/","קַדְמָה",,,,,", , , ",,"subs",,"former time",,,,,,"former time",,"done",,,,,,,,,,,,
,425,2,567,"QJM=/","קְיָם",,,,,", , , ",,"subs",,"statute",,,,,,"statute",,"done",,,,,,,,,,,,
,426,2,568,"QJM/","קַיָּם",,,,,", , , ",,"adjv",,"during",,,,,,"during",,"done",,,,,,,,,,,,
,427,2,580,"QRY/","קְרַץ",,,,,", , , ",,"subs",,"piece",,,,,,"piece",,"done",,,,,,,,,,,,
,428,2,581,"QCV/","קְשֹׁט",,,,,", , , ",,"subs",,"truth",,,,,,"truth",,"done",,,,,,,,,,,,
,429,2,588,"RBW=/","רִבֹּו",,,,,", , , ",,"subs",,"great multitude, ten thousand",,,,,,"great multitude, ten thousand",,"done",,,,,,,,,,,,
,430,2,595,"RW/","רֵו",,,,,", , , ",,"subs",,"appearance",,,,,,"appearance",,"done",,,,,,,,,,,,
,431,2,606,"R<W/","רְעוּ",,,,,", , , ",,"subs",,"will",,,,,,"will",,"done",,,,,,,,,,,,
,432,2,609,"R<<[","רעע",,"ii-guttural",,"geminate",", ii-guttural, , geminate","ii-guttural, geminate","verb","pael peal","crush",,,,,,"peal: crush; pael: crush (ptc. only)","peal: crush; pael: crush (ptc. only); peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","crush","crush (ptc. only)",,,,,,,,,,
,433,2,610,"RPS[","רפס",,,,"regular",", , , regular","regular","verb","peal","trample",,,,,,"peal: trample","peal: trample; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","trample",,,,,,,,,,,
,434,2,618,"CBJB/","שְׁבִיב",,,,,", , , ",,"subs",,"flame",,,,,,"flame",,"done",,,,,,,,,,,,
,435,2,625,"CWH[","שׁוה",,,"iii-hey",,", , iii-hey, ","iii-hey","verb","htpa pael","make equal",,,,,,"pael: make equal; hitpa: be made into","pael: make equal; peal: ; peil: ; haf: ; hof ; af: ; shaf: ; hitpe: ; hitpa: be made into; hisht: ; etpa: ; etpe: .","Pael=2",,"make equal",,,,,,,"be made into",,,
,436,2,630,"CKN[","שׁכן",,,,"regular",", , , regular","regular","verb","pael peal","dwell",,,,,,"peal: dwell; pael: cause to dwell","peal: dwell; pael: cause to dwell; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","dwell","cause to dwell",,,,,,,,,,
,437,2,636,"CLVN=/","שִׁלְטֹן",,,,,", , , ",,"subs",,"high official",,,,,,"high official",,"done",,,,,,,,,,,,
,438,2,646,"CMRJN/","שָׁמְרָיִן",,,,,", , , ",,"nmpr",,"Samaria",,,,,,"Samaria",,"done",,,,,,,,,,,,
,439,2,656,"CPJR/","שַׁפִּיר",,,,,", , , ",,"adjv",,"beautiful",,,,,,"beautiful",,"done",,,,,,,,,,,,
,440,2,665,"CCBYR/","שֵׁשְׁבַּצַּר",,,,,", , , ",,"nmpr",,"Sheshbazzar",,,,,,"Sheshbazzar",,"done",,,,,,,,,,,,
,441,2,666,"CT/","שֵׁת",,,,,", , , ",,"subs",,"six",,,,,,"six",,"done",,,,,,,,,,,,
,442,2,683,"TDJR/","תְּדִיר",,,,,", , , ",,"subs",,"duration",,,,,,"duration",,"done",,,,,,,,,,,,
,443,2,692,"TLTJN/","תְּלָתִין",,,,,", , , ",,"subs",,"thirty",,,,,,"thirty",,"done",,,,,,,,,,,,
,444,2,697,"TPTJ/","תִּפְתָּי",,,,,", , , ",,"subs",,"police officer",,,,,,"police officer",,"done",,,,,,,,,,,,
,445,2,699,"TQL/","תְּקֵל",,,,,", , , ",,"subs",,"shekel <measure of weight>",,,,,,"shekel <measure of weight>",,"done",,,,,,,,,,,,
,446,2,706,"TR</","תְּרַע",,,,,", , , ",,"subs",,"door; court",,,,,,"door; court",,"done",,,,,,,,,,,,
,447,1,7,">DR/","אֲדָר",,,,,", , , ",,"nmpr",,"Adar <month>",,,,,,"Adar <month>",,"done",,,,,,,,,,,,
,448,1,8,">DR=/","אִדַּר",,,,,", , , ",,"subs",,"threshing-floor",,,,,,"threshing-floor",,"done",,,,,,,,,,,,
,449,1,10,">DRZD>","אַדְרַזְדָּא",,,,,", , , ",,"advb",,"with zeal; correctly",,,,,,"with zeal; correctly",,"done",,,,,,,,,,,,
,450,1,11,">DR</","אֶדְרָע",,,,,", , , ",,"subs",,"arm; force",,,,,,"arm; force",,"done",,,,,,,,,,,,
,451,1,15,">X/","אַח",,,,,", , , ",,"subs",,"brother",,,,,,"brother",,"done",,,,,,,,,,,,
,452,1,16,">XJDH/","אֲחִידָה",,,,,", , , ",,"subs",,"riddle",,,,,,"riddle",,"done",,,,,,,,,,,,
,453,1,17,">XMT>/","אַחְמְתָא",,,,,", , , ",,"nmpr",,"Ecbatana",,,,,,"Ecbatana",,"done",,,,,,,,,,,,
,454,1,19,">XRJ=/","אַחֲרִי",,,,,", , , ",,"subs",,"end",,,,,,"end",,"done",,,,,,,,,,,,
,455,1,21,">XRJN","אָחֳרֵין",,,,,", , , ",,"advb",,"at last",,,,,,"at last",,"done",,,,,,,,,,,,
,456,1,25,">JMTNJ/","אֵימְתָנִי",,,,,", , , ",,"adjv",,"terrible",,,,,,"terrible",,"done",,,,,,,,,,,,
,457,1,28,">L=","אֵל",,,,,", , , ",,"prde",,"these",,,,,,"these",,"done",,,,,,,,,,,,
,458,1,31,">LH","אֵלֶּה",,,,,", , , ",,"prde",,"these",,,,,,"these",,"done",,,,,,,,,,,,
,459,1,44,">NJN","אִנִּין",,,,,", , , ",,"prps",,"they; those",,,,,,"they; those",,"done",,,,,,,,,,,,
,460,1,45,">NS[","אנס","i-aleph",,,,"i-aleph, , , ","i-aleph","verb","peal","oppress",,,,,,"peal: oppress","peal: oppress; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","oppress",,,,,,,,,,,
,461,1,49,">NTWN","אַנְתּוּן",,,,,", , , ",,"prps",,"you",,,,,,"you",,"done",,,,,,,,,,,,
,462,1,51,">SNPR/","אָסְנַפַּר",,,,,", , , ",,"nmpr",,"Ashurbanipal",,,,,,"Ashurbanipal",,"done",,,,,,,,,,,,
,463,1,56,">PRSJ/","אֲפָרְסָי",,,,,", , , ",,"subs",,"Persian?; <title of officials>?",,,,,,"Persian?; <title of officials>?",,"done",,,,,,,,,,,,
,464,1,58,">PRSTKJ/","אֲפַרְסַתְכָי",,,,,", , , ",,"subs",,"<title of officials>",,,,,,"<title of officials>",,"done",,,,,,,,,,,,
,465,1,59,">PTM/","אַפְּתֹם",,,,,", , , ",,"subs",,"at last?; treasury?",,,,,,"at last?; treasury?",,"done",,,,,,,,,,,,
,466,1,67,">RJK/","אֲרִיךְ",,,,,", , , ",,"adjv",,"proper",,,,,,"proper",,"done",,,,,,,,,,,,
,467,1,68,">RKBH/","אַרְכֻבָּה",,,,,", , , ",,"subs",,"knee",,,,,,"knee",,"done",,,,,,,,,,,,
,468,1,70,">RKWJ/","אַרְכְּוָי",,,,,", , , ",,"adjv",,"from Erech",,,,,,"from Erech",,"done",,,,,,,,,,,,
,469,1,72,">R<J/","אַרְעִי",,,,,", , , ",,"subs",,"bottom",,,,,,"bottom",,"done",,,,,,,,,,,,
,470,1,73,">RQ/","אֲרַק",,,,,", , , ",,"subs",,"earth",,,,,,"earth",,"done",,,,,,,,,,,,
,471,1,76,">C>/","אֶשָּׁא",,,,,", , , ",,"subs",,"fire",,,,,,"fire",,"done",,,,,,,,,,,,
,472,1,85,"B>JC/","בִּאישׁ",,,,,", , , ",,"adjv",,"bad",,,,,,"bad",,"done",,,,,,,,,,,,
,473,1,86,"B>C[","באשׁ",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","peal","be bad; displease",,,,,,"peal: be bad, displease","peal: be bad, displease; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","be bad, displease",,,,,,,,,,,
,474,1,89,"BBLJ/","בָּבְלָי",,,,,", , , ",,"adjv",,"Babylonian",,,,,,"Babylonian",,"done",,,,,,,,,,,,
,475,1,90,"BDR[","בדר",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","pael","scatter",,,,,,"pael: scatter","pael: scatter; peal: ; peil: ; haf: ; hof ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Pael=2",,"scatter",,,,,,,,,,
,476,1,91,"BHJLW/","בְּהִילוּ",,,,,", , , ",,"subs",,"haste",,,,,,"haste",,"done",,,,,,,,,,,,
,477,1,95,"BJNH/","בִּינָה",,,,,", , , ",,"subs",,"discernment",,,,,,"discernment",,"done",,,,,,,,,,,,
,478,1,96,"BJRH/","בִּירָה",,,,,", , , ",,"subs",,"fortified place",,,,,,"fortified place",,"done",,,,,,,,,,,,
,479,1,98,"BJT[","בית",,"ii-yod",,,", ii-yod, , ","ii-yod","verb","peal","spend the night",,,,,,"peal: spend the night","peal: spend the night; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","spend the night",,,,,,,,,,,
,480,1,99,"BL/","בָּל",,,,,", , , ",,"subs",,"heart, mind",,,,,,"heart, mind",,"done",,,,,,,,,,,,
,481,1,100,"BLH[","בלה",,,"iii-hey",,", , iii-hey, ","iii-hey","verb","pael","wear out",,,,,,"pael: wear out","pael: wear out; peal: ; peil: ; haf: ; hof ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Pael=2",,"wear out",,,,,,,,,,
,482,1,105,"BNJN/","בִּנְיָן",,,,,", , , ",,"subs",,"building",,,,,,"building",,"done",,,,,,,,,,,,
,483,1,106,"BNS[","בנס",,,,"regular",", , , regular","regular","verb","peal","become angry",,,,,,"peal: become angry","peal: become angry; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","become angry",,,,,,,,,,,
,484,1,110,"BQ<H/","בִּקְעָה",,,,,", , , ",,"subs",,"plain",,,,,,"plain",,"done",,,,,,,,,,,,
,485,1,114,"BRK/","בְּרַךְ",,,,,", , , ",,"subs",,"knee",,,,,,"knee",,"done",,,,,,,,,,,,
,486,1,116,"BRK=[","ברך II",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","peal","kneel",,,,,,"peal: kneel","peal: kneel; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","kneel",,,,,,,,,,,
,487,1,120,"GB/","גַּב",,,,,", , , ",,"subs",,"back; side",,,,,,"back; side",,"done",,,,,,,,,,,,
,488,1,124,"GBR=/","גִּבָּר",,,,,", , , ",,"subs",,"strong man",,,,,,"strong man",,"done",,,,,,,,,,,,
,489,1,128,"GWH/","גֵּוָה",,,,,", , , ",,"subs",,"arrogance",,,,,,"arrogance",,"done",,,,,,,,,,,,
,490,1,129,"GWX[","גוח",,"ii-waw","iii-guttural",,", ii-waw, iii-guttural, ","ii-waw, iii-guttural","verb","haf","stir up",,,,,,"haf: stir up","haf: stir up; hof ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: .","Hafel=4",,,,"stir up",,,,,,,,
,491,1,130,"GZBR/","גִּזְבַּר",,,,,", , , ",,"subs",,"treasurer",,,,,,"treasurer",,"done",,,,,,,,,,,,
,492,1,133,"GJR/","גִּיר",,,,,", , , ",,"subs",,"plaster",,,,,,"plaster",,"done",,,,,,,,,,,,
,493,1,134,"GLGL/","גַּלְגַּל",,,,,", , , ",,"subs",,"wheel",,,,,,"wheel",,"done",,,,,,,,,,,,
,494,1,138,"GMR[","גמר",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","peal","finished",,,,,,"peal: finished","peal: finished; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","finished",,,,,,,,,,,
,495,1,141,"GRM/","גְּרַם",,,,,", , , ",,"subs",,"bone",,,,,,"bone",,"done",,,,,,,,,,,,
,496,1,144,"DB/","דֹּב",,,,,", , , ",,"subs",,"bear",,,,,,"bear",,"done",,,,,,,,,,,,
,497,1,145,"DBX/","דְּבַח",,,,,", , , ",,"subs",,"sacrifice",,,,,,"sacrifice",,"done",,,,,,,,,,,,
,498,1,146,"DBX[","דבח",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","peal","sacrifice",,,,,,"peal: sacrifice","peal: sacrifice; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","sacrifice",,,,,,,,,,,
,499,1,147,"DBQ[","דבק",,,,"regular",", , , regular","regular","verb","peal","cling to",,,,,,"peal: cling to","peal: cling to; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","cling to",,,,,,,,,,,
,500,1,150,"DHJ/","דֶּהָי",,,,,", , , ",,"adjv",,"<uncertain>",,,,,"<uncertain>, <?>","<uncertain>, <?>",,"done",,,,,,,,,,,,
,501,1,152,"DWQ[","דוק",,"ii-waw",,,", ii-waw, , ","ii-waw","verb","peal hafel","pulverise, pulverize",,,,,,"peal: be pulverized, be pulverised, be crushed (into small pieces); haf: crush;","peal: be pulverized, be pulverised, be crushed (into small pieces); pael: ; peil: ; haf: crush; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","be pulverized, be pulverised, be crushed (into small pieces)",,,"crush",,,,,,,,
,502,1,153,"DWR>/","דּוּרָא",,,,,", , , ",,"nmpr",,"Dura",,,,,,"Dura",,"done",,,,,,,,,,,,
,503,1,154,"DWC[","דושׁ",,"ii-waw",,,", ii-waw, , ","ii-waw","verb","peal","trample",,,,,,"peal: trample","peal: trample; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","trample",,,,,,,,,,,
,504,1,155,"DXWH/","דַּחֲוָה",,,,,", , , ",,"subs",,"concubine?; table?; <musical instrument>?",,,,,,"concubine?; table?; <musical instrument>?",,"done",,,,,,,,,,,,
,505,1,159,"DJN=/","דַּיָּן",,,,,", , , ",,"subs",,"judge",,,,,,"judge",,"done",,,,,,,,,,,,
,506,1,160,"DJN[","דין",,"ii-yod",,,", ii-yod, , ","ii-yod","verb","peal","judge",,,,,,"peal: judge","peal: judge; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","judge",,,,,,,,,,,
,507,1,161,"DJNJ/","דִּינָי",,,,,", , , ",,"adjv",,"<uncertain>",,,,,"<uncertain>, <?>","<uncertain>, <?>",,"done",,,,,,,,,,,,
,508,1,166,"DKRWN/","דִּכְרֹון",,,,,", , , ",,"subs",,"memorandum, record",,,,,,"memorandum, record",,"done",,,,,,,,,,,,
,509,1,168,"DLQ[","דלק",,,,"regular",", , , regular","regular","verb","peal","burn",,,,,,"peal: burn","peal: burn; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","burn",,,,,,,,,,,
,510,1,175,"DR</","דְּרָע",,,,,", , , ",,"subs",,"arm",,,,,,"arm",,"done",,,,,,,,,,,,
,511,1,180,"H>=","הֵא",,,,,", , , ",,"intj",,"as",,,,,,"as",,"done",,,,,,,,,,,,
,512,1,181,"H>","הָא",,,,,", , , ",,"intj",,"behold",,,,,,"behold",,"done",,,,,,,,,,,,
,513,1,196,"HRHR/","הַרְהֹר",,,,,", , , ",,"subs",,"imagining",,,,,,"imagining",,"done",,,,,,,,,,,,
,514,1,198,"ZBN[","זבן",,,,"regular",", , , regular","regular","verb","peal","buy",,,,,,"peal: buy","peal: buy; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","buy",,,,,,,,,,,
,515,1,199,"ZHJR/","זְהִיר",,,,,", , , ",,"adjv",,"cautious",,,,,,"cautious",,"done",,,,,,,,,,,,
,516,1,200,"ZWN[","זון",,"ii-waw",,,", ii-waw, , ","ii-waw","verb","htpe","feed on",,,,,,"hitpe: feed on","hitpe: feed on; hitpa: ; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: ; haf: ; hof ; shaf: .","Hitpeel=8",,,,,,,,"feed on",,,,
,517,1,202,"ZJD[","זיד",,"ii-yod",,,", ii-yod, , ","ii-yod","verb","haf","act presumptuously",,,,,,"haf: act presumptuously","haf: act presumptuously; hof ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: .","Hafel=4",,,,"act presumptuously",,,,,,,,
,518,1,204,"ZKW/","זָכוּ",,,,,", , , ",,"subs",,"innocence",,,,,,"innocence",,"done",,,,,,,,,,,,
,519,1,207,"ZMN[","זמן",,,,"regular",", , , regular","regular","verb","htpe","agree",,,,,,"hitpe: agree","hitpe: agree; hitpa: ; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: ; haf: ; hof ; shaf: .","Hitpeel=8",,,,,,,,"agree",,,,
,520,1,209,"ZMR=/","זַמָּר",,,,,", , , ",,"subs",,"musician, singer",,,,,,"musician, singer",,"done",,,,,,,,,,,,
,521,1,211,"Z<JR/","זְעֵיר",,,,,", , , ",,"adjv",,"small",,,,,,"small",,"done",,,,,,,,,,,,
,522,1,212,"Z<Q[","זעק",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","peal","cry",,,,,,"peal: cry","peal: cry; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","cry",,,,,,,,,,,
,523,1,213,"ZQP[","זקף",,,,"regular",", , , regular","regular","verb","peal","impaled",,,,,,"peal: impaled","peal: impaled; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","impaled",,,,,,,,,,,
,524,1,214,"ZRBBL/","זְרֻבָּבֶל",,,,,", , , ",,"nmpr",,"Zerubbabel",,,,,,"Zerubbabel",,"done",,,,,,,,,,,,
,525,1,215,"ZR</","זְרַע",,,,,", , , ",,"subs",,"seed, offspring",,,,,,"seed, offspring",,"done",,,,,,,,,,,,
,526,1,216,"XBWLH/","חֲבוּלָה",,,,,", , , ",,"subs",,"crime",,,,,,"crime",,"done",,,,,,,,,,,,
,527,1,220,"XBRH/","חַבְרָה",,,,,", , , ",,"subs",,"companion",,,,,,"companion",,"done",,,,,,,,,,,,
,528,1,223,"XDH/","חֲדֵה",,,,,", , , ",,"subs",,"breast",,,,,,"breast",,"done",,,,,,,,,,,,
,529,1,224,"XDWH/","חֶדְוָה",,,,,", , , ",,"subs",,"joy",,,,,,"joy",,"done",,,,,,,,,,,,
,530,1,225,"XDT/","חֲדַת",,,,,", , , ",,"adjv",,"new",,,,,,"new",,"done",,,,,,,,,,,,
,531,1,227,"XWR/","חִוָּר",,,,,", , , ",,"adjv",,"white",,,,,,"white",,"done",,,,,,,,,,,,
,532,1,231,"XV>/","חֲטָא",,,,,", , , ",,"subs",,"sin",,,,,,"sin",,"done",,,,,,,,,,,,
,533,1,232,"XV>H/","חַטָּאָה",,,,,", , , ",,"subs",,"sin-offering",,,,,,"sin-offering",,"done",,,,,,,,,,,,
,534,1,248,"XNNJH/","חֲנַנְיָה",,,,,", , , ",,"nmpr",,"Hananiah",,,,,,"Hananiah",,"done",,,,,,,,,,,,
,535,1,249,"XSJR/","חַסִּיר",,,,,", , , ",,"adjv",,"lacking",,,,,,"lacking",,"done",,,,,,,,,,,,
,536,1,254,"XRB[","חרב","i-guttural","ii-guttural",,,"i-guttural, ii-guttural, , ","i-guttural, ii-guttural","verb","hof","be destroyed",,,,,,"hof: be destroyed","hof: be destroyed; shaf: ; hitpe: ; hitpa: ; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: ; haf: .","Hofal=5",,,,,"be destroyed",,,,,,,
,537,1,256,"XRK[","חרך","i-guttural","ii-guttural",,,"i-guttural, ii-guttural, , ","i-guttural, ii-guttural","verb","htpa","be singed",,,,,,"hitpa: be singed","hitpa: be singed; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: ; haf: ; hof ; shaf: ; hitpe: .","Hitpaal=9",,,,,,,,,"be singed",,,
,538,1,257,"XRY/","חֲרַץ",,,,,", , , ",,"subs",,"hip",,,,,,"hip",,"done",,,,,,,,,,,,
,539,1,258,"XCB[","חשׁב","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","peal","accounted",,,,,,"peal: accounted","peal: accounted; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","accounted",,,,,,,,,,,
,540,1,259,"XCWK/","חֲשֹׁוךְ",,,,,", , , ",,"subs",,"darkness",,,,,,"darkness",,"done",,,,,,,,,,,,
,541,1,260,"XCX[","חשׁח","i-guttural",,"iii-guttural",,"i-guttural, , iii-guttural, ","i-guttural, iii-guttural","verb","peal","be in need of",,,,,,"peal: be in need of","peal: be in need of; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","be in need of",,,,,,,,,,,
