"section","booklet number (frequency+alphabetic)","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","semantic domain","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","meaning fixed","Qal=1 EN","Nifal=2 EN","Piel=3 EN","Pual=4 EN","Hitpael=5 EN","Hifil=6 EN","Hofal=7 EN","Hishtafal=8 EN","Passive qal=9 EN","Etpaal=1 EN","Nitpael=11 EN","Hotpaal=12 EN","Tifal=13 EN","Hitpoal=14 EN","Poal=15 EN","Poel=16 EN"
,5766,1,5739,"<JLWM/","עֵילֹום ",,,,,", , , ",,"subs",,"<uncertain>",,,,,,"(uncertain)","(uncertain)",,,,,,,,,,,,,,,,,,
,5767,1,5744,"<JN[","עין ","i-guttural","ii-yod",,,"i-guttural, ii-yod, , ","i-guttural, ii-yod","verb","qal","look suspiciously at",,,,,,,"qal: look suspiciously at;","qal: look suspiciously at; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","no decision","look suspiciously at",,,,,,,,,,,,,,,
,5768,1,5753,"<JN_<GLJM/","עֵין עֶגְלַיִם ",,,,,", , , ",,"nmpr",,"En Eglaim",,,,,,"En Eglaim","En Eglaim",,,,,,,,,,,,,,,,,,
,5769,1,5748,"<JN_HTNJN/","עֵין הַתַּנִּין ",,,,,", , , ",,"nmpr",,"the Jackal Well",,,,,,"the Jackal Well","the Jackal Well",,,,,,,,,,,,,,,,,,
,5770,1,5752,"<JN_MCPV/","עֵין מִשְׁפָּט ",,,,,", , , ",,"nmpr",,"En Mishpat",,,,,,"En Mishpat","En Mishpat",,,,,,,,,,,,,,,,,,
,5771,1,5757,"<JN_TPWX/","עֵין תַּפּוּחַ ",,,,,", , , ",,"nmpr",,"En Tappuah",,,,,,"En Tappuah","En Tappuah",,,,,,,,,,,,,,,,,,
,5772,1,5749,"<JN_XDH/","עֵין חַדָּה ",,,,,", , , ",,"nmpr",,"En Haddah",,,,,,"En Haddah","En Haddah",,,,,,,,,,,,,,,,,,
,5773,1,5751,"<JN_XRD/","עֵין חֲרֹד ",,,,,", , , ",,"nmpr",,"the spring of Harod",,,,,,"the spring of Harod","the spring of Harod",,,,,,,,,,,,,,,,,,
,5774,1,5750,"<JN_XYWR/","עֵין חָצֹור ",,,,,", , , ",,"nmpr",,"En Hazor",,,,,,"En Hazor","En Hazor",,,,,,,,,,,,,,,,,,
,5775,1,5759,"<JNM/","עֵינָם ",,,,,", , , ",,"nmpr",,"Enam",,,,,,"Enam","Enam",,,,,,,,,,,,,,,,,,
,5776,1,5765,"<JPH==/","עֵיפָה III",,,,,", , , ",,"nmpr",,"Ephah",,,,,,"Ephah","Ephah",,,,,,,,,,,,,,,,,,
,5777,1,5766,"<JPJ/","עֵיפַי ",,,,,", , , ",,"nmpr",,"Ephai",,,,,,"Ephai","Ephai",,,,,,,,,,,,,,,,,,
,5778,1,5774,"<JR_CMC/","עִיר שֶׁמֶשׁ ",,,,,", , , ",,"nmpr",,"Ir Shemesh",,,,,,"Ir Shemesh","Ir Shemesh",,,,,,,,,,,,,,,,,,
,5779,1,5772,"<JR_HMLX/","עִיר הַמֶּלַח ",,,,,", , , ",,"nmpr",,"City of Salt",,,,,,"City of Salt","City of Salt",,,,,,,,,,,,,,,,,,
