"section","Frequency rank","Occurrences","absolut alphabetic order","Lexeme in lexicon","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","Part of speech","Verbal stems","Current EN glosses","Current PT glosses","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","Mitchel non-verb gloss PT","New glosses (verbs:prioritized displayed meaning of verbs) without excel formula (ready for export) EN","New glosses (verbs:prioritized displayed meaning of verbs) without excel formula (ready for export) PT","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula PT","meaning fixed","Qal=1 EN","Qal=1 PT","Nifal=2 EN","Nifal=2 PT","Piel=3 EN","Piel=3 PT","Pual=4 EN","Pual=4 PT","Hitpael=5 EN","Hitpael=5 PT","Hifil=6 EN","Hifil=6 PT","Hofal=7 EN","Hofal=7 PT","Hishtafal=8 EN","Hishtafal=8 PT","Passive qal EN","Passive qal PT","Hotpaal","Etpaal","Nitpael","Tifal"
,6380,1,2043,"ZKR==/","זֵכֶר",,,,,"nmpr",,"Zeker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6381,1,2049,"ZLZLJM/","זַלְזַלִּים",,,,,"subs",,"shoots, sprigs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6382,1,2053,"ZLT/","זֻלֻּת",,,,,"subs",,"worthlessness, vileness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6383,1,2057,"ZMZMJM/","זַמְזֻמִּים",,,,,"nmpr",,"Zamzummites",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6384,1,2059,"ZMJR=/","זָמִיר",,,,,"subs",,"pruning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6385,1,2060,"ZMJRH/","זְמִירָה",,,,,"nmpr",,"Zemirah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6386,1,2062,"ZMM/","זְמָם",,,,,"subs",,"plan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6387,1,2067,"ZMR/","זֶמֶר",,,,,"subs",,"gazelle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6388,1,2071,"ZMRJ=/","זִמְרִי",,,,,"nmpr",,"Zimri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6389,1,2077,"ZNH=[","זנה",,,"iii-hey",,"verb","qal","feel repugnance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6390,1,2079,"ZNWX=/","זָנֹוחַ",,,,,"nmpr",,"Zanoah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6391,1,2083,"ZNX=[","זנח",,,"iii-guttural",,"verb","hif","stink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6392,1,2084,"ZNQ[","זנק",,,,"regular","verb","piel","leap forth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6393,1,2085,"Z<H/","זֵעָה",,,,,"subs",,"sweat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6394,1,2089,"Z<K[","זעך",,"ii-guttural",,,"verb","nif","be extinguished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6395,1,2097,"ZPRWN/","זִפְרֹון",,,,,"nmpr",,"Ziphron",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6396,1,2100,"ZQJM=/","זִקִּים",,,,,"subs",,"fire-arrows",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6397,1,2104,"ZQN==/","זֹקֶן",,,,,"subs",,"old age",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6398,1,2111,"ZR>/","זָרָא",,,,,"subs",,"loathsome thing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6399,1,2112,"ZRB[","זרב",,"ii-guttural",,,"verb","pual","be dried up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6400,1,2116,"ZRH=[","זרה",,"ii-guttural","iii-hey",,"verb","piel","measure off",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6401,1,2119,"ZRZJP/","זַרְזִיף",,,,,"subs",,"sprinkling?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6402,1,2120,"ZRZJR/","זַרְזִיר",,,,,"subs",,"greyhound?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6403,1,2123,"ZRX/","זֶרַח",,,,,"subs",,"shining, flashing up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6404,1,2131,"ZR<JM/","זֵרֹעִים",,,,,"subs",,"vegetables",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6405,1,2132,"ZR<NJM/","זֵרְעֹנִים",,,,,"subs",,"vegetables",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6406,1,2134,"ZRQ=[","זרק",,"ii-guttural",,,"verb","qal","be white, bright",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6407,1,2135,"ZRR[","זרר",,"ii-guttural",,"geminate","verb","piel","sneeze",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6408,1,2140,"ZTR/","זֵתַר",,,,,"nmpr",,"Zethar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6409,1,2141,"XB/","חֹב",,,,,"subs",,"fold of garment, pocket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6410,1,2143,"XBB[","חבב","i-guttural",,,"geminate","verb","qal","love",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6411,1,2146,"XBH/","חֻבָּה",,,,,"nmpr",,"Hubbah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6412,1,2151,"XBJWN/","חֶבְיֹון",,,,,"subs",,"hiding, veil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6413,1,2156,"XBL=====/","חִבֵּל",,,,,"subs",,"mast?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6414,1,2158,"XBL======/","חֵבֶל",,,,,"subs",,"foetus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6415,1,2162,"XBLH/","חֲבֹלָה",,,,,"subs",,"pledge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6416,1,2165,"XBYNJH/","חֲבַצִּנְיָה",,,,,"nmpr",,"Habazziniah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6417,1,2170,"XBR=[","חבר",,,,,"verb","hif","be brilliant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6418,1,2173,"XBR==/","חַבָּר",,,,,"subs",,"companion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6419,1,2175,"XBRBRT/","חֲבַרְבֻּרֹת",,,,,"subs",,"marks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6420,1,2176,"XBRH/","חֶבְרָה",,,,,"subs",,"company, community",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6421,1,2179,"XBRJ/","חֶבְרִי",,,,,"adjv",,"Heberite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6422,1,2181,"XBRT=/","חֲבֶרֶת",,,,,"subs",,"companion, wife",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6423,1,2184,"XBTJM/","חֲבִתִּים",,,,,"subs",,"flat cakes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6424,1,2186,"XG>/","חָגָּא",,,,,"subs",,"terror, dread",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6425,1,2188,"XGB=/","חָגָב",,,,,"nmpr",,"Hagab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6426,1,2193,"XGWR/","חָגֹור",,,,,"adjv",,"girded, belted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6427,1,2196,"XGJ/","חַגִּי",,,,,"adjv",,"Haggite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6428,1,2198,"XGJH/","חַגִּיָּה",,,,,"nmpr",,"Haggiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6429,1,2203,"XD=/","חַד",,,,,"subs",,"one",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6430,1,2207,"XDWDJM/","חַדּוּדִים",,,,,"subs",,"points",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6431,1,2211,"XDL=/","חֶדֶל",,,,,"subs",,"world?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6432,1,2213,"XDLJ/","חַדְלָי",,,,,"nmpr",,"Hadlai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6433,1,2216,"XDR[","חדר","i-guttural",,,,"verb","qal","surround",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6434,1,2218,"XDRK/","חַדְרָךְ",,,,,"nmpr",,"Hadrach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6435,1,2222,"XDC==/","חֹדֶשׁ",,,,,"nmpr",,"Hodesh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6436,1,2223,"XDCH/","חֲדָשָׁה",,,,,"nmpr",,"Hadashah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6437,1,2224,"XWB[","חוב","i-guttural",,,"ii-waw","verb","piel","make guilty, declare guilty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6438,1,2225,"XWB/","חֹוב",,,,,"subs",,"guilt, debt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6439,1,2226,"XWBH/","חֹובָה",,,,,"nmpr",,"Hobah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6440,1,2227,"XWG[","חוג","i-guttural",,,"ii-waw","verb","qal","draw a circle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6441,1,2241,"XWL=/","חֹול",,,,,"subs",,"Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6442,1,2246,"XWPM/","חוּפָם",,,,,"nmpr",,"Hupham",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6443,1,2247,"XWPMJ/","חוּפָמִי",,,,,"adjv",,"Huphamite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6444,1,2249,"XWQQ/","חוּקֹק",,,,,"nmpr",,"Hukok",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6445,1,2250,"XWR[","חור","i-guttural",,,"ii-waw","verb","qal","grow pale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6446,1,2253,"XWRJ=/","חוּרִי",,,,,"nmpr",,"Huri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6447,1,2254,"XWRJ==/","חוּרַי",,,,,"nmpr",,"Hurai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6448,1,2255,"XWRJ/","חֹורָי",,,,,"subs",,"white linen?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6449,1,2256,"XWRM/","חוּרָם",,,,,"nmpr",,"Huram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6450,1,2260,"XWC=[","חושׁ",,,,"regular","verb","qal","feel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6451,1,2261,"XWCH/","חוּשָׁה",,,,,"nmpr",,"Hushah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6452,1,2264,"XWCJM=/","חוּשִׁים",,,,,"nmpr",,"Hushim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6453,1,2271,"XZW/","חֲזֹו",,,,,"nmpr",,"Hazo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6454,1,2273,"XZWT=/","חֲזֹות",,,,,"subs",,"the visions of Iddo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6455,1,2275,"XZJ>L/","חֲזִיאֵל",,,,,"nmpr",,"Haziel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6456,1,2276,"XZJH/","חֲזָיָה",,,,,"nmpr",,"Hazaiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6457,1,2278,"XZJWN=/","חֶזְיֹון",,,,,"nmpr",,"Hezion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6458,1,2283,"XZQ===/","חֵזֶק",,,,,"subs",,"strength",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6459,1,2289,"XZQJ/","חִזְקִי",,,,,"nmpr",,"Hizki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6460,1,2297,"XV>H==/","חֶטְאָה",,,,,"subs",,"sin, error",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6461,1,2301,"XVB=[","חטב",,,,"regular","verb","qal","be multi-coloured",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6462,1,2307,"XVM[","חטם","i-guttural",,,,"verb","qal","restrain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6463,1,2311,"XJ=/","חַי",,,,,"subs",,"kinsfolk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6464,1,2312,"XJ>L/","חִיאֵל",,,,,"nmpr",,"Hiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6465,1,2317,"XJH=/","חָיֶה",,,,,"adjv",,"lively, having the vigour of life",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6466,1,2318,"XJWT/","חַיּוּת",,,,,"subs",,"lifetime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6467,1,2325,"XJLH/","חִילָה",,,,,"subs",,"labour-pains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6468,1,2326,"XJLK/","חֵילֵךְ",,,,,"nmpr",,"Helech",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6469,1,2328,"XJLN/","חִילֵן",,,,,"nmpr",,"Hilen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6470,1,2329,"XJN/","חִין",,,,,"subs",,"<uncertain>",,,,,,,,"(uncertain)",,"(uncertain)",,,,,,,,,,,,,,,,,,,,,,,,
,6471,1,2330,"XJY/","חַיִץ",,,,,"subs",,"wall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6472,1,2335,"XJC/","חִישׁ",,,,,"subs",,"haste; quickly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6473,1,2341,"XKLJLJ/","חַכְלִילִי",,,,,"adjv",,"dull",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6474,1,2342,"XKLLWT/","חַכְלִלוּת",,,,,"subs",,"dullness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6475,1,2349,"XL>[","חלא","i-guttural",,"iii-aleph",,"verb","qal","become sick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6476,1,2353,"XLB==/","חֵלֶב",,,,,"nmpr",,"Heled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6477,1,2355,"XLBH/","חֶלְבָּה",,,,,"nmpr",,"Helbah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6478,1,2356,"XLBWN/","חֶלְבֹּון",,,,,"nmpr",,"Helbon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6479,1,2357,"XLBNH/","חֶלְבָּנָה",,,,,"subs",,"galbanum <a gum>",,,,,,,,"galbanum (a gum)",,"galbanum (a gum)",,,,,,,,,,,,,,,,,,,,,,,,
,6480,1,2358,"XLD==/","חֵלֶד",,,,,"nmpr",,"Heled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6481,1,2360,"XLD=/","חֹלֶד",,,,,"subs",,"mole-rat?; weasel?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6482,1,2368,"XLWP/","חֲלֹוף",,,,,"subs",,"<uncertain>",,,,,,,,"(uncertain)",,"(uncertain)",,,,,,,,,,,,,,,,,,,,,,,,
,6483,1,2369,"XLWCH/","חֲלוּשָׁה",,,,,"subs",,"defeat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6484,1,2371,"XLXWL/","חַלְחוּל",,,,,"nmpr",,"Halhul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6485,1,2373,"XLV[","חלט","i-guttural",,,,"verb","qal","accept (as convincing)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6486,1,2375,"XLJ==/","חֲלִי",,,,,"nmpr",,"Hali",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6487,1,2377,"XLJH/","חֶלְיָה",,,,,"subs",,"ornament",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6488,1,2385,"XLL==[","חלל",,,,"regular","verb","piel","play the flute",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6489,1,2388,"XLM/","חֵלֶם",,,,,"nmpr",,"Heldai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6490,1,2389,"XLMWT/","חַלָּמוּת",,,,,"subs",,"marsh-mallow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6491,1,2395,"XLP=/","חֵלֶף",,,,,"nmpr",,"Heleph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6492,1,2403,"XLQ===/","חֵלֶק",,,,,"subs",,"smoothness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6493,1,2404,"XLQ==/","חַלֻּק",,,,,"adjv",,"smooth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6494,1,2406,"XLQH==/","חֲלֻקָּה",,,,,"subs",,"portion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6495,1,2409,"XLQJ/","חֶלְקִי",,,,,"adjv",,"Helekite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6496,1,2410,"XLQJ=/","חֶלְקַי",,,,,"nmpr",,"Helkai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6497,1,2415,"XLQT_HYWRJM/","חֶלְקַת הַצּוּרִים",,,,,"nmpr",,"Helkath Hazzurim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6498,1,2417,"XLC/","חַלָּשׁ",,,,,"subs",,"the weak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6499,1,2427,"XMDN/","חֶמְדָּן",,,,,"nmpr",,"Hemdan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6500,1,2430,"XMW>L/","חַמּוּאֵל",,,,,"nmpr",,"Hammuel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6501,1,2433,"XMWLJ/","חָמוּלִי",,,,,"adjv",,"Hamulite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6502,1,2435,"XMWY/","חָמוּץ",,,,,"adjv",,"bright red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6503,1,2436,"XMWY=/","חָמֹוץ",,,,,"subs",,"oppressor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6504,1,2437,"XMWQ/","חַמּוּק",,,,,"subs",,"curve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6505,1,2441,"XMV/","חֹמֶט",,,,,"subs",,"<reptile>",,,,,,,,"(reptile)",,"(reptile)",,,,,,,,,,,,,,,,,,,,,,,,
,6506,1,2442,"XMVH/","חֻמְטָה",,,,,"nmpr",,"Humtah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6507,1,2443,"XMJY/","חָמִיץ",,,,,"subs",,"sorrelfodder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6508,1,2448,"XMLH=/","חֻמְלָה",,,,,"subs",,"compassion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6509,1,2454,"XMY=[","חמץ",,,,"regular","verb","qal","oppress",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6510,1,2459,"XMR=[","חמר",,,,,"verb","piel","be reddened",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6511,1,2461,"XMR===/","חֶמֶר",,,,,"subs",,"fermenting wine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6512,1,2464,"XMRN/","חַמְרָן",,,,,"nmpr",,"Hemdan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6513,1,2468,"XMC==/","חֹמֶשׁ",,,,,"subs",,"fifth part?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6514,1,2471,"XMT==/","חַמַּת",,,,,"nmpr",,"Hammath",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6515,1,2472,"XMT===/","חַמַּת",,,,,"nmpr",,"Hammath",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6516,1,2473,"XMT_D>R/","חַמֹּת דֹּאר",,,,,"nmpr",,"Hammoth Dor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6517,1,2474,"XMT_YWB>/","חֲמָת צֹובָא",,,,,"nmpr",,"Hamath Zobah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6518,1,2477,"XN=/","חֵן",,,,,"nmpr",,"Hen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6519,1,2480,"XNH=[","חנה",,,"iii-hey",,"verb","piel","be gracious, have compassion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6520,1,2483,"XNWK=/","חֲנֹוךְ",,,,,"nmpr",,"Enoch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6521,1,2486,"XNWT/","חָנוּת",,,,,"subs",,"vault",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6522,1,2488,"XNVJM/","חֲנֻטִים",,,,,"subs",,"embalming",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6523,1,2490,"XNJK/","חָנִיךְ",,,,,"subs",,"follower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6524,1,2491,"XNJNH/","חֲנִינָה",,,,,"subs",,"grace, kindness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6525,1,2495,"XNKJ/","חֲנֹכִי",,,,,"adjv",,"Hanochite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6526,1,2498,"XNML/","חֲנָמַל",,,,,"subs",,"flood?; frost?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6527,1,2500,"XNN=[","חנן",,,,"regular","verb","qal","be loathsome",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6528,1,2506,"XNS/","חָנֵס",,,,,"nmpr",,"Hanes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6529,1,2509,"XNP=/","חֹנֶף",,,,,"subs",,"impiousness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6530,1,2510,"XNPH/","חֲנֻפָּה",,,,,"subs",,"impiousness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6531,1,2512,"XNTWN/","חַנָּתֹון",,,,,"nmpr",,"Hannathon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6532,1,2514,"XSD=[","חסד",,,,"regular","verb","piel","put to shame, reproach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6533,1,2517,"XSD==/","חֶסֶד",,,,,"nmpr",,"Ben-Hesed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6534,1,2518,"XSDJH/","חֲסַדְיָה",,,,,"nmpr",,"Hasadiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6535,1,2521,"XSH/","חֹסָה",,,,,"nmpr",,"Hosah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6536,1,2522,"XSWT/","חָסוּת",,,,,"subs",,"refuge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6537,1,2526,"XSJN/","חֲסִין",,,,,"subs",,"strength?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6538,1,2527,"XSL[","חסל","i-guttural",,,,"verb","qal","consume",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6539,1,2529,"XSN[","חסן","i-guttural",,,,"verb","nif","be stored",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6540,1,2532,"XSPS[","חספס",,,,"4 root verb","verb","pual","crackle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6541,1,2537,"XSRH/","חַסְרָה",,,,,"nmpr",,"Hasrah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6542,1,2538,"XSRWN/","חֶסְרֹון",,,,,"subs",,"thing lacking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6543,1,2539,"XP/","חַף",,,,,"adjv",,"pure, clean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6544,1,2540,"XP>[","חפא","i-guttural",,"iii-aleph",,"verb","piel","hide?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6545,1,2543,"XPH=/","חֻפָּה",,,,,"nmpr",,"Huppah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6546,1,2549,"XPP[","חפף","i-guttural",,,"geminate","verb","qal","shelter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6547,1,2551,"XPY=[","חפץ",,,,"regular","verb","qal","let hang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6548,1,2554,"XPYJ_BH/","חֶפְצִי בָהּ",,,,,"nmpr",,"Hephzibah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6549,1,2559,"XPRJ/","חֶפְרִי",,,,,"adjv",,"Hepherite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6550,1,2560,"XPRJM/","חֲפָרַיִם",,,,,"nmpr",,"Hapharaim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6551,1,2561,"XPR</","חָפְרַע",,,,,"nmpr",,"Hophra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6552,1,2563,"XPC[","חפשׁ","i-guttural",,,,"verb","pual","be freed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6553,1,2564,"XPF/","חֵפֶשׂ",,,,,"subs",,"plot?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6554,1,2565,"XPC/","חֹפֶשׁ",,,,,"subs",,"woven material (for saddle-cloths)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6555,1,2566,"XPCH/","חֻפְשָׁה",,,,,"subs",,"freedom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
